2014-5-1_잠실, 2 : 1
2014-5-1_마산, 5 : 10
2014-5-1_대전, 0 : 3
2014-5-1_광주, 2 : 20
2014-5-3_잠실, 8 : 3
2014-5-3_대구, 6 : 1
2014-5-3_문학, 6 : 5
2014-5-3_광주, 3 : 2
2014-5-4_잠실, 0 : 10
2014-5-4_대구, 3 : 4
2014-5-4_문학, 16 : 4
2014-5-4_광주, 7 : 8
2014-5-5_잠실, 7 : 2
2014-5-5_대구, 2 : 3
2014-5-5_문학, 5 : 9
2014-5-5_광주, 16 : 8
2014-5-6_잠실, 4 : 5
2014-5-6_사직, 10 : 19
2014-5-6_문학, 7 : 4
2014-5-6_목동, 6 : 3
2014-5-7_잠실, 8 : 7
2014-5-7_사직, 6 : 10
2014-5-7_문학, 5 : 4
2014-5-7_목동, 24 : 5
2014-5-8_잠실, 6 : 2
2014-5-8_사직, 15 : 6
2014-5-8_문학, 5 : 0
2014-5-8_목동, 3 : 4
2014-5-9_잠실, 12 : 2
2014-5-9_마산, 3 : 1
2014-5-9_목동, 5 : 6
2014-5-9_대전, 3 : 2
2014-5-10_잠실, 2 : 17
2014-5-10_마산, 2 : 4
2014-5-10_목동, 4 : 2
2014-5-10_대전, 11 : 5
2014-5-11_잠실, 1 : 8
2014-5-11_마산, 1 : 10
2014-5-11_목동, 1 : 8
2014-5-11_대전, 5 : 2
2014-5-13_잠실, 0 : 5
2014-5-13_마산, 5 : 6
2014-5-13_대구, 1 : 7
2014-5-13_문학, 9 : 6
2014-5-14_잠실, 1 : 2
2014-5-14_마산, 5 : 9
2014-5-14_대구, 3 : 10
2014-5-14_문학, 12 : 2
2014-5-15_잠실, 9 : 4
2014-5-15_마산, 6 : 5
2014-5-15_대구, 3 : 3
2014-5-15_문학, 10 : 1
2014-5-16_잠실, 3 : 8
2014-5-16_사직, 3 : 4
2014-5-16_대전, 3 : 5
2014-5-16_광주, 4 : 3
2014-5-17_잠실, 2 : 3
2014-5-17_사직, 12 : 2
2014-5-17_대전, 8 : 4
