,away_ 1루수,away_ 2루수,away_ 3루수,away_ 우익수,away_ 유격수,away_ 좌익수,away_ 중견수,away_ 투수,away_ 포수,away_1번타자,away_2번타자,away_3번타자,away_4번타자,away_5번타자,away_6번타자,away_7번타자,away_8번타자,away_9번타자,home_ 1루수,home_ 2루수,home_ 3루수,home_ 우익수,home_ 유격수,home_ 좌익수,home_ 중견수,home_ 투수,home_ 포수,home_1번타자,home_2번타자,home_3번타자,home_4번타자,home_5번타자,home_6번타자,home_7번타자,home_8번타자,home_9번타자,경기
0,0.69407,0.11464,1.11084,0.69946,0.40134,0.61456,0.02062,0.0,0.0,0.61456,0.02062,0.69946,0.69407,0.47683,1.11084,0.40134,0.11464,0.0,0.69407,0.11464,1.11084,0.69946,0.40134,0.61456,0.02062,0.0,0.0,0.61456,0.02062,0.69946,0.69407,0.47683,1.11084,0.40134,0.11464,0.0,2016-5-1_부산사직
0,0.68848,0.26816,1.38679,1.00145,0.74661,0.0,0.56499,0.80189,0.47777,0.0,0.0,1.38679,1.00145,0.68848,0.47777,0.56499,0.26816,0.74661,0.68848,0.26816,1.38679,1.00145,0.74661,0.0,0.56499,0.80189,0.47777,0.0,0.0,1.38679,1.00145,0.68848,0.47777,0.56499,0.26816,0.74661,2016-5-1_고척돔
0,0.0,1.21605,0.0,0.94987,0.08619,0.0,0.21763,0.0,0.0,0.0,0.21763,0.94987,1.09069,1.21605,0.0,0.08619,0.0,0.0,0.0,1.21605,0.0,0.94987,0.08619,0.0,0.21763,0.0,0.0,0.0,0.21763,0.94987,1.09069,1.21605,0.0,0.08619,0.0,0.0,2016-5-1_잠실
0,1.39404,0.14901,0.0,0.50141,0.13434,1.4257,0.0,1.24115,0.54318,0.50141,0.0,1.39404,1.4257,0.33869,0.0,0.14901,0.54318,0.13434,1.39404,0.14901,0.0,0.50141,0.13434,1.4257,0.0,1.24115,0.54318,0.50141,0.0,1.39404,1.4257,0.33869,0.0,0.14901,0.54318,0.13434,2016-5-1_대전한밭
0,0.52313,0.0,1.02483,0.36032,1.07772,0.54402,0.0,0.0,0.48617,0.0,0.54402,0.13763,0.36032,1.02483,0.52313,0.48617,1.07772,0.0,0.52313,0.0,1.02483,0.36032,1.07772,0.54402,0.0,0.0,0.48617,0.0,0.54402,0.13763,0.36032,1.02483,0.52313,0.48617,1.07772,0.0,2016-5-3_라이온즈파크
0,0.02842,0.96353,0.0,0.0,0.0,0.0,0.0,0.17787,0.0,0.0,0.0,0.96353,0.18741,0.0,0.02842,0.0,0.0,0.0,0.02842,0.96353,0.0,0.0,0.0,0.0,0.0,0.17787,0.0,0.0,0.0,0.96353,0.18741,0.0,0.02842,0.0,0.0,0.0,2016-5-3_인천문학
0,1.27443,0.48717,0.0,1.4379,1.10139,0.06452,0.55577,0.22578,0.00186,0.06452,0.55577,1.4379,1.27443,0.48717,1.10139,0.65214,0.0,0.00186,1.27443,0.48717,0.0,1.4379,1.10139,0.06452,0.55577,0.22578,0.00186,0.06452,0.55577,1.4379,1.27443,0.48717,1.10139,0.65214,0.0,0.00186,2016-5-4_잠실
0,0.69407,0.4189,0.11464,0.69946,0.40134,0.61456,0.02062,0.39605,0.0,0.61456,0.4189,0.69946,0.69407,0.47683,0.02062,0.40134,0.11464,0.0,0.69407,0.4189,0.11464,0.69946,0.40134,0.61456,0.02062,0.39605,0.0,0.61456,0.4189,0.69946,0.69407,0.47683,0.02062,0.40134,0.11464,0.0,2016-5-4_케이티위즈파크
0,0.52313,0.0,1.02483,0.36032,1.07772,0.54402,0.0,0.36074,0.48617,0.0,0.54402,0.13763,0.36032,1.02483,0.52313,0.48617,1.07772,0.0,0.52313,0.0,1.02483,0.36032,1.07772,0.54402,0.0,0.36074,0.48617,0.0,0.54402,0.13763,0.36032,1.02483,0.52313,0.48617,1.07772,0.0,2016-5-4_라이온즈파크
0,0.02842,0.96353,0.0,0.0,0.0,0.62721,0.0,0.36074,0.0,0.0,0.0,0.96353,0.18741,0.0,0.02842,0.62721,0.0,0.0,0.02842,0.96353,0.0,0.0,0.0,0.62721,0.0,0.36074,0.0,0.0,0.0,0.96353,0.18741,0.0,0.02842,0.62721,0.0,0.0,2016-5-4_인천문학
0,0.65214,0.48717,0.0,1.4379,1.10139,0.06452,0.55577,1.14775,1.44983,0.06452,0.55577,1.4379,0.65214,1.44983,0.48717,0.05784,0.0,1.10139,0.65214,0.48717,0.0,1.4379,1.10139,0.06452,0.55577,1.14775,1.44983,0.06452,0.55577,1.4379,0.65214,1.44983,0.48717,0.05784,0.0,1.10139,2016-5-5_잠실
0,0.69407,0.4189,0.11464,0.69946,0.40134,0.61456,0.02062,0.89994,0.0,0.61456,0.4189,0.69946,0.69407,0.47683,0.02062,0.40134,0.11464,0.0,0.69407,0.4189,0.11464,0.69946,0.40134,0.61456,0.02062,0.89994,0.0,0.61456,0.4189,0.69946,0.69407,0.47683,0.02062,0.40134,0.11464,0.0,2016-5-5_케이티위즈파크
0,0.52313,0.0,1.02483,0.0,1.07772,0.54402,0.0,1.37919,0.13434,0.0,0.54402,0.13763,1.02483,0.52313,1.07772,0.0,0.0,0.13434,0.52313,0.0,1.02483,0.0,1.07772,0.54402,0.0,1.37919,0.13434,0.0,0.54402,0.13763,1.02483,0.52313,1.07772,0.0,0.0,0.13434,2016-5-5_라이온즈파크
0,0.02842,0.96353,0.0,0.0,0.00775,0.62721,0.0,0.0,0.00013,0.96353,0.0,0.62721,0.18741,0.02842,0.0,0.0,0.00013,0.00775,0.02842,0.96353,0.0,0.0,0.00775,0.62721,0.0,0.0,0.00013,0.96353,0.0,0.62721,0.18741,0.02842,0.0,0.0,0.00013,0.00775,2016-5-5_인천문학
0,0.85835,0.0,0.77262,0.11945,0.31452,0.01443,0.08019,0.72839,0.08928,0.01443,0.08019,0.85835,0.55217,0.77262,0.31452,0.08928,0.0,0.11945,0.85835,0.0,0.77262,0.11945,0.31452,0.01443,0.08019,0.72839,0.08928,0.01443,0.08019,0.85835,0.55217,0.77262,0.31452,0.08928,0.0,0.11945,2016-5-6_고척돔
0,0.0,0.0,0.02362,1.29203,0.0,1.15613,0.5622,0.0,1.05294,0.5622,1.15613,1.29203,0.58562,0.0,1.05294,0.02362,0.0,0.0,0.0,0.0,0.02362,1.29203,0.0,1.15613,0.5622,0.0,1.05294,0.5622,1.15613,1.29203,0.58562,0.0,1.05294,0.02362,0.0,0.0,2016-5-6_잠실
0,0.02842,0.96353,0.0,0.33912,0.0,0.62721,0.0,0.15565,0.00013,0.0,0.0,0.96353,0.18741,0.33912,0.0,0.02842,0.62721,0.00013,0.02842,0.96353,0.0,0.33912,0.0,0.62721,0.0,0.15565,0.00013,0.0,0.0,0.96353,0.18741,0.33912,0.0,0.02842,0.62721,0.00013,2016-5-6_케이티위즈파크
0,0.68848,0.26816,1.38679,0.0,0.74661,0.0,0.56499,1.08396,0.47777,0.0,0.0,1.38679,1.00145,0.68848,0.47777,0.56499,0.26816,0.74661,0.68848,0.26816,1.38679,0.0,0.74661,0.0,0.56499,1.08396,0.47777,0.0,0.0,1.38679,1.00145,0.68848,0.47777,0.56499,0.26816,0.74661,2016-5-6_라이온즈파크
0,0.86441,0.0,1.25325,0.0,0.0,0.42101,0.3309,0.17271,0.0308,0.42101,0.0,0.86441,0.76634,1.25325,0.3309,0.0,0.0308,0.0,0.86441,0.0,1.25325,0.0,0.0,0.42101,0.3309,0.17271,0.0308,0.42101,0.0,0.86441,0.76634,1.25325,0.3309,0.0,0.0308,0.0,2016-5-6_마산
0,0.0,0.0,0.02362,1.29203,0.0,1.15613,0.5622,0.85021,1.05294,0.5622,1.15613,1.29203,0.58562,0.0,1.05294,0.02362,0.0,0.0,0.0,0.0,0.02362,1.29203,0.0,1.15613,0.5622,0.85021,1.05294,0.5622,1.15613,1.29203,0.58562,0.0,1.05294,0.02362,0.0,0.0,2016-5-7_잠실
0,0.18741,0.96353,0.0,0.33912,0.00775,0.62721,0.0,0.0,0.00013,0.96353,0.0,0.02842,0.18741,0.0,0.62721,0.33912,0.00013,0.00775,0.18741,0.96353,0.0,0.33912,0.00775,0.62721,0.0,0.0,0.00013,0.96353,0.0,0.02842,0.18741,0.0,0.62721,0.33912,0.00013,0.00775,2016-5-7_케이티위즈파크
0,0.68848,0.26816,1.38679,0.1725,0.74661,0.0,0.56499,0.80189,0.47777,0.0,0.1725,1.38679,1.00145,0.68848,0.47777,0.56499,0.26816,0.74661,0.68848,0.26816,1.38679,0.1725,0.74661,0.0,0.56499,0.80189,0.47777,0.0,0.1725,1.38679,1.00145,0.68848,0.47777,0.56499,0.26816,0.74661,2016-5-7_라이온즈파크
0,0.02697,0.0,1.25325,0.76634,0.3057,0.42101,0.0,0.0,0.0,0.42101,0.02697,0.86441,0.76634,1.25325,0.3057,0.0,0.0,0.0,0.02697,0.0,1.25325,0.76634,0.3057,0.42101,0.0,0.0,0.0,0.42101,0.02697,0.86441,0.76634,1.25325,0.3057,0.0,0.0,0.0,2016-5-7_마산
0,0.0,0.0,0.02362,1.29203,0.0,1.15613,0.5622,0.69146,1.05294,0.5622,1.15613,1.29203,0.58562,0.0,1.05294,0.02362,0.0,0.0,0.0,0.0,0.02362,1.29203,0.0,1.15613,0.5622,0.69146,1.05294,0.5622,1.15613,1.29203,0.58562,0.0,1.05294,0.02362,0.0,0.0,2016-5-8_잠실
0,0.02842,0.96353,0.0,0.33912,0.0,0.0,0.0,0.0,0.0,0.96353,0.0,0.02842,0.18741,0.33912,0.0,0.0,0.0,0.0,0.02842,0.96353,0.0,0.33912,0.0,0.0,0.0,0.0,0.0,0.96353,0.0,0.02842,0.18741,0.33912,0.0,0.0,0.0,0.0,2016-5-8_케이티위즈파크
0,0.68848,0.26816,1.38679,0.1725,0.74661,0.0,0.0,0.82185,0.47777,0.0,0.1725,1.38679,1.00145,0.68848,0.47777,0.74661,0.26816,0.0,0.68848,0.26816,1.38679,0.1725,0.74661,0.0,0.0,0.82185,0.47777,0.0,0.1725,1.38679,1.00145,0.68848,0.47777,0.74661,0.26816,0.0,2016-5-8_라이온즈파크
0,0.02697,0.0,1.25325,0.76634,0.3057,0.42101,0.0,0.0,0.0,0.42101,0.02697,0.86441,0.76634,1.25325,0.0,0.3057,0.0,0.0,0.02697,0.0,1.25325,0.76634,0.3057,0.42101,0.0,0.0,0.0,0.42101,0.02697,0.86441,0.76634,1.25325,0.0,0.3057,0.0,0.0,2016-5-8_마산
0,1.39404,0.03229,0.14901,0.50141,0.13434,1.4257,0.0,0.0,0.54318,0.50141,0.0,1.39404,1.4257,0.33869,0.03229,0.14901,0.54318,0.13434,1.39404,0.03229,0.14901,0.50141,0.13434,1.4257,0.0,0.0,0.54318,0.50141,0.0,1.39404,1.4257,0.33869,0.03229,0.14901,0.54318,0.13434,2016-5-10_잠실
0,0.0,0.48717,0.0,1.4379,1.10139,0.06452,0.55577,0.22578,1.44983,0.06452,0.55577,1.4379,0.65214,1.44983,0.48717,0.0,0.0,1.10139,0.0,0.48717,0.0,1.4379,1.10139,0.06452,0.55577,0.22578,1.44983,0.06452,0.55577,1.4379,0.65214,1.44983,0.48717,0.0,0.0,1.10139,2016-5-10_인천문학
0,0.36032,0.0,1.02483,0.13763,1.07772,0.54402,0.0,1.37919,0.48617,0.0,0.54402,0.13763,0.36032,1.02483,0.52313,0.48617,1.07772,0.0,0.36032,0.0,1.02483,0.13763,1.07772,0.54402,0.0,1.37919,0.48617,0.0,0.54402,0.13763,0.36032,1.02483,0.52313,0.48617,1.07772,0.0,2016-5-11_부산사직
0,1.39404,0.03229,0.14901,0.50141,0.13434,1.4257,0.0,0.0,0.09888,0.50141,0.0,1.39404,1.4257,0.33869,0.03229,0.14901,0.09888,0.13434,1.39404,0.03229,0.14901,0.50141,0.13434,1.4257,0.0,0.0,0.09888,0.50141,0.0,1.39404,1.4257,0.33869,0.03229,0.14901,0.09888,0.13434,2016-5-11_잠실
0,0.69407,0.4189,1.11084,0.69946,0.40134,0.61456,0.02062,0.39605,0.0,0.61456,0.4189,0.69946,0.69407,0.47683,1.11084,0.02062,0.40134,0.0,0.69407,0.4189,1.11084,0.69946,0.40134,0.61456,0.02062,0.39605,0.0,0.61456,0.4189,0.69946,0.69407,0.47683,1.11084,0.02062,0.40134,0.0,2016-5-11_대전한밭
0,0.0,0.48717,0.0,1.4379,1.10139,0.06452,0.55577,1.14775,1.44983,0.06452,0.0,1.4379,0.65214,1.44983,0.48717,0.0,0.55577,1.10139,0.0,0.48717,0.0,1.4379,1.10139,0.06452,0.55577,1.14775,1.44983,0.06452,0.0,1.4379,0.65214,1.44983,0.48717,0.0,0.55577,1.10139,2016-5-11_인천문학
0,0.36032,0.0,1.02483,0.07038,1.07772,0.54402,0.0,0.36074,0.48617,0.0,0.54402,1.07772,0.36032,1.02483,0.52313,0.48617,0.07038,0.0,0.36032,0.0,1.02483,0.07038,1.07772,0.54402,0.0,0.36074,0.48617,0.0,0.54402,1.07772,0.36032,1.02483,0.52313,0.48617,0.07038,0.0,2016-5-12_부산사직
0,1.39404,0.03229,0.14901,0.50141,0.13434,1.4257,0.0,0.65455,0.54318,0.50141,0.0,1.39404,1.4257,0.33869,0.54318,0.03229,0.14901,0.13434,1.39404,0.03229,0.14901,0.50141,0.13434,1.4257,0.0,0.65455,0.54318,0.50141,0.0,1.39404,1.4257,0.33869,0.54318,0.03229,0.14901,0.13434,2016-5-12_잠실
0,0.69407,0.4189,1.11084,0.69946,0.11464,0.0,0.02062,1.61505,0.0,0.0,0.4189,0.69946,0.69407,0.47683,1.11084,0.02062,0.11464,0.0,0.69407,0.4189,1.11084,0.69946,0.11464,0.0,0.02062,1.61505,0.0,0.0,0.4189,0.69946,0.69407,0.47683,1.11084,0.02062,0.11464,0.0,2016-5-12_대전한밭
0,0.0,0.48717,0.0,0.06452,1.10139,0.65214,1.4379,0.74643,0.00186,0.06452,0.0,1.4379,0.65214,0.05784,1.10139,0.48717,0.0,0.00186,0.0,0.48717,0.0,0.06452,1.10139,0.65214,1.4379,0.74643,0.00186,0.06452,0.0,1.4379,0.65214,0.05784,1.10139,0.48717,0.0,0.00186,2016-5-12_인천문학
0,0.0,0.0,0.0,0.06452,1.10139,0.65214,1.4379,0.78239,0.0,0.06452,0.0,1.4379,0.65214,0.05784,0.0,1.10139,0.0,0.0,0.0,0.0,0.0,0.06452,1.10139,0.65214,1.4379,0.78239,0.0,0.06452,0.0,1.4379,0.65214,0.05784,0.0,1.10139,0.0,0.0,2016-5-13_고척돔
0,0.68848,0.74661,1.38679,1.00145,0.0,0.0,0.1725,0.80189,0.47777,0.0,0.1725,1.38679,1.00145,0.47777,0.68848,0.0,0.26816,0.74661,0.68848,0.74661,1.38679,1.00145,0.0,0.0,0.1725,0.80189,0.47777,0.0,0.1725,1.38679,1.00145,0.47777,0.68848,0.0,0.26816,0.74661,2016-5-13_잠실
0,0.0,0.0,0.02362,1.29203,0.0,1.15613,0.5622,0.85021,1.05294,0.5622,1.15613,1.29203,0.58562,0.0,1.05294,0.02362,0.0,0.0,0.0,0.0,0.02362,1.29203,0.0,1.15613,0.5622,0.85021,1.05294,0.5622,1.15613,1.29203,0.58562,0.0,1.05294,0.02362,0.0,0.0,2016-5-13_라이온즈파크
0,0.0,1.21605,0.61885,0.0,0.08619,0.0,0.21763,0.19696,0.0,0.21763,0.0,0.61885,0.94987,0.0,1.21605,0.08619,0.0,0.0,0.0,1.21605,0.61885,0.0,0.08619,0.0,0.21763,0.19696,0.0,0.21763,0.0,0.61885,0.94987,0.0,1.21605,0.08619,0.0,0.0,2016-5-13_마산
0,0.0,0.0,0.0,1.4379,1.10139,0.06452,0.55577,0.29413,0.0,0.06452,0.55577,1.4379,0.65214,0.0,0.0,1.10139,0.0,0.0,0.0,0.0,0.0,1.4379,1.10139,0.06452,0.55577,0.29413,0.0,0.06452,0.55577,1.4379,0.65214,0.0,0.0,1.10139,0.0,0.0,2016-5-14_고척돔
0,0.0,0.74661,1.38679,1.00145,0.0,0.0,0.0,0.82185,0.15077,0.0,0.0,1.38679,1.00145,0.47777,0.0,0.0,0.15077,0.74661,0.0,0.74661,1.38679,1.00145,0.0,0.0,0.0,0.82185,0.15077,0.0,0.0,1.38679,1.00145,0.47777,0.0,0.0,0.15077,0.74661,2016-5-14_잠실
0,0.0,0.0,0.02362,1.29203,0.0,1.15613,0.5622,0.63535,1.05294,0.5622,1.15613,1.29203,0.58562,0.0,1.05294,0.02362,0.0,0.0,0.0,0.0,0.02362,1.29203,0.0,1.15613,0.5622,0.63535,1.05294,0.5622,1.15613,1.29203,0.58562,0.0,1.05294,0.02362,0.0,0.0,2016-5-14_라이온즈파크
0,0.0,1.21605,0.61885,0.0,0.08619,0.0,0.21763,0.17555,0.0,0.21763,0.0,0.61885,0.94987,0.0,1.21605,0.0,0.0,0.08619,0.0,1.21605,0.61885,0.0,0.08619,0.0,0.21763,0.17555,0.0,0.21763,0.0,0.61885,0.94987,0.0,1.21605,0.0,0.0,0.08619,2016-5-14_마산
0,0.0,0.48717,0.0,0.06452,0.0,0.65214,0.55577,0.22578,1.44983,0.06452,0.55577,1.4379,0.65214,1.44983,0.0,0.48717,0.0,0.0,0.0,0.48717,0.0,0.06452,0.0,0.65214,0.55577,0.22578,1.44983,0.06452,0.55577,1.4379,0.65214,1.44983,0.0,0.48717,0.0,0.0,2016-5-15_고척돔
0,0.0,0.0,0.02362,1.29203,0.0,1.15613,0.5622,0.69146,1.05294,0.5622,1.15613,1.29203,0.58562,0.0,1.05294,0.0,0.02362,0.0,0.0,0.0,0.02362,1.29203,0.0,1.15613,0.5622,0.69146,1.05294,0.5622,1.15613,1.29203,0.58562,0.0,1.05294,0.0,0.02362,0.0,2016-5-15_라이온즈파크
0,0.0,1.21605,0.61885,0.0,0.08619,0.0,0.21763,0.07877,0.0,0.21763,0.0,0.61885,0.94987,0.0,1.21605,0.0,0.0,0.08619,0.0,1.21605,0.61885,0.0,0.08619,0.0,0.21763,0.07877,0.0,0.21763,0.0,0.61885,0.94987,0.0,1.21605,0.0,0.0,0.08619,2016-5-15_마산
0,0.69407,0.4189,1.11084,0.69946,0.40134,0.61456,0.02062,0.39605,0.0,0.61456,0.4189,0.69946,0.69407,0.47683,1.11084,0.02062,0.40134,0.0,0.69407,0.4189,1.11084,0.69946,0.40134,0.61456,0.02062,0.39605,0.0,0.61456,0.4189,0.69946,0.69407,0.47683,1.11084,0.02062,0.40134,0.0,2016-5-17_고척돔
0,0.02697,0.0,1.25325,0.0,0.3057,0.42101,0.0,0.14834,0.0308,0.42101,0.0,0.02697,0.76634,1.25325,0.3057,0.0,0.0308,0.0,0.02697,0.0,1.25325,0.0,0.3057,0.42101,0.0,0.14834,0.0308,0.42101,0.0,0.02697,0.76634,1.25325,0.3057,0.0,0.0308,0.0,2016-5-17_케이티위즈파크
0,0.0,0.0,0.02362,1.29203,0.0,1.15613,0.5622,0.16564,1.05294,0.5622,1.15613,1.29203,0.58562,0.0,1.05294,0.0,0.02362,0.0,0.0,0.0,0.02362,1.29203,0.0,1.15613,0.5622,0.16564,1.05294,0.5622,1.15613,1.29203,0.58562,0.0,1.05294,0.0,0.02362,0.0,2016-5-17_인천문학
0,0.69407,0.4189,1.11084,0.69946,0.40134,0.61456,0.02062,0.89994,0.0,0.61456,0.4189,0.69946,0.69407,0.47683,1.11084,0.02062,0.40134,0.0,0.69407,0.4189,1.11084,0.69946,0.40134,0.61456,0.02062,0.89994,0.0,0.61456,0.4189,0.69946,0.69407,0.47683,1.11084,0.02062,0.40134,0.0,2016-5-18_고척돔
0,0.02697,0.0,1.25325,0.3309,0.3057,0.42101,0.0,0.17271,0.0308,0.42101,0.0,0.02697,1.25325,0.3309,0.0,0.3057,0.0308,0.0,0.02697,0.0,1.25325,0.3309,0.3057,0.42101,0.0,0.17271,0.0308,0.42101,0.0,0.02697,1.25325,0.3309,0.0,0.3057,0.0308,0.0,2016-5-18_케이티위즈파크
