,away_ 1루수,away_ 2루수,away_ 3루수,away_ 우익수,away_ 유격수,away_ 좌익수,away_ 중견수,away_ 투수,away_ 포수,away_1번타자,away_2번타자,away_3번타자,away_4번타자,away_5번타자,away_6번타자,away_7번타자,away_8번타자,away_9번타자,home_ 1루수,home_ 2루수,home_ 3루수,home_ 우익수,home_ 유격수,home_ 좌익수,home_ 중견수,home_ 투수,home_ 포수,home_1번타자,home_2번타자,home_3번타자,home_4번타자,home_5번타자,home_6번타자,home_7번타자,home_8번타자,home_9번타자,경기
0,1.72,0.5,0.0,1.04,0.0,0.0,0.56,0.0,0.02,0.5,0.56,1.04,1.72,0.0,0.0,0.02,0.0,0.0,1.72,0.5,0.0,1.04,0.0,0.0,0.56,0.0,0.02,0.5,0.56,1.04,1.72,0.0,0.0,0.02,0.0,0.0,2014-5-1_대전
0,1.09,0.36,0.0,0.01,0.0,0.0,0.79,0.0,0.23,0.36,0.0,0.79,0.73,1.09,0.0,0.0,0.23,0.01,1.09,0.36,0.0,0.01,0.0,0.0,0.79,0.0,0.23,0.36,0.0,0.79,0.73,1.09,0.0,0.0,0.23,0.01,2014-5-3_대구
0,0.35,0.8,0.29,0.45,0.72,0.11,0.59,0.0,0.0,0.8,0.11,0.59,0.35,0.72,0.29,0.0,0.45,0.0,0.35,0.8,0.29,0.45,0.72,0.11,0.59,0.0,0.0,0.8,0.11,0.59,0.35,0.72,0.29,0.0,0.45,0.0,2014-5-3_광주
0,1.09,0.36,0.0,0.01,0.0,0.0,0.79,0.0,0.23,0.36,0.0,0.79,0.73,1.09,0.0,0.0,0.23,0.01,1.09,0.36,0.0,0.01,0.0,0.0,0.79,0.0,0.23,0.36,0.0,0.79,0.73,1.09,0.0,0.0,0.23,0.01,2014-5-4_대구
0,0.35,0.8,0.29,0.45,0.72,0.11,0.59,0.0,0.0,0.8,0.11,0.59,0.35,0.72,0.29,0.45,0.33,0.0,0.35,0.8,0.29,0.45,0.72,0.11,0.59,0.0,0.0,0.8,0.11,0.59,0.35,0.72,0.29,0.45,0.33,0.0,2014-5-4_광주
0,1.09,0.36,0.0,0.01,0.0,0.0,0.79,0.0,0.23,0.36,0.0,0.79,0.73,1.09,0.0,0.0,0.23,0.01,1.09,0.36,0.0,0.01,0.0,0.0,0.79,0.0,0.23,0.36,0.0,0.79,0.73,1.09,0.0,0.0,0.23,0.01,2014-5-5_대구
0,0.69,1.08,0.36,0.0,0.55,0.12,0.43,0.0,0.0,0.05,0.0,1.08,0.69,0.43,0.12,0.55,0.36,0.0,0.69,1.08,0.36,0.0,0.55,0.12,0.43,0.0,0.0,0.05,0.0,1.08,0.69,0.43,0.12,0.55,0.36,0.0,2014-5-7_잠실
0,1.09,0.36,0.0,0.78,0.0,0.0,0.79,0.0,0.23,0.36,0.78,0.79,0.73,1.09,0.0,0.0,0.0,0.23,1.09,0.36,0.0,0.78,0.0,0.0,0.79,0.0,0.23,0.36,0.78,0.79,0.73,1.09,0.0,0.0,0.0,0.23,2014-5-7_목동
0,1.09,0.36,0.0,0.78,0.0,0.0,0.79,0.0,0.23,0.36,0.78,0.79,0.73,1.09,0.0,0.0,0.0,0.23,1.09,0.36,0.0,0.78,0.0,0.0,0.79,0.0,0.23,0.36,0.78,0.79,0.73,1.09,0.0,0.0,0.0,0.23,2014-5-8_목동
0,0.3,0.01,0.96,0.0,0.16,0.82,0.0,0.0,0.0,0.01,0.0,0.3,0.82,0.96,0.64,0.0,0.0,0.16,0.3,0.01,0.96,0.0,0.16,0.82,0.0,0.0,0.0,0.01,0.0,0.3,0.82,0.96,0.64,0.0,0.0,0.16,2014-5-9_잠실
0,0.3,0.0,0.96,0.0,0.16,0.82,0.0,0.0,0.24,0.0,0.0,0.3,0.82,0.96,0.64,0.0,0.24,0.16,0.3,0.0,0.96,0.0,0.16,0.82,0.0,0.0,0.24,0.0,0.0,0.3,0.82,0.96,0.64,0.0,0.24,0.16,2014-5-10_잠실
0,0.3,0.0,0.96,0.0,0.16,0.82,0.0,0.0,0.0,0.0,0.0,0.3,0.82,0.96,0.64,0.0,0.0,0.16,0.3,0.0,0.96,0.0,0.16,0.82,0.0,0.0,0.0,0.0,0.0,0.3,0.82,0.96,0.64,0.0,0.0,0.16,2014-5-11_잠실
0,0.36,0.03,0.0,1.04,0.04,0.0,0.56,0.0,0.02,0.0,0.56,1.04,1.72,0.36,0.0,0.02,0.03,0.04,0.36,0.03,0.0,1.04,0.04,0.0,0.56,0.0,0.02,0.0,0.56,1.04,1.72,0.36,0.0,0.02,0.03,0.04,2014-5-11_마산
0,0.05,0.34,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.12,0.0,0.05,0.23,0.0,0.34,0.0,0.0,0.13,0.05,0.34,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.12,0.0,0.05,0.23,0.0,0.34,0.0,0.0,0.13,2014-5-11_대전
0,0.69,1.08,0.55,0.0,0.0,0.12,0.0,0.0,0.0,0.05,0.0,1.08,0.69,0.12,0.55,0.0,0.0,0.0,0.69,1.08,0.55,0.0,0.0,0.12,0.0,0.0,0.0,0.05,0.0,1.08,0.69,0.12,0.55,0.0,0.0,0.0,2014-5-13_대구
0,0.05,0.34,0.13,0.0,0.0,0.23,0.13,0.0,0.0,0.13,0.0,0.05,0.23,0.0,0.34,0.13,0.0,0.0,0.05,0.34,0.13,0.0,0.0,0.23,0.13,0.0,0.0,0.13,0.0,0.05,0.23,0.0,0.34,0.13,0.0,0.0,2014-5-14_마산
0,0.69,0.0,0.36,0.0,0.55,0.0,0.43,0.0,0.0,0.05,0.0,0.55,0.69,0.43,0.0,0.0,0.36,0.0,0.69,0.0,0.36,0.0,0.55,0.0,0.43,0.0,0.0,0.05,0.0,0.55,0.69,0.43,0.0,0.0,0.36,0.0,2014-5-14_대구
0,0.05,0.34,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.13,0.0,0.05,0.23,0.0,0.34,0.13,0.0,0.0,0.05,0.34,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.13,0.0,0.05,0.23,0.0,0.34,0.13,0.0,0.0,2014-5-15_마산
0,0.69,0.0,0.36,0.0,0.55,0.0,0.43,0.0,0.0,0.05,0.0,0.55,0.69,0.43,0.0,0.0,0.36,0.0,0.69,0.0,0.36,0.0,0.55,0.0,0.43,0.0,0.0,0.05,0.0,0.55,0.69,0.43,0.0,0.0,0.36,0.0,2014-5-15_대구
0,0.13,0.25,0.0,1.33,0.0,0.53,0.0,0.0,0.83,1.33,0.25,0.53,0.13,0.0,0.83,0.0,0.0,0.0,0.13,0.25,0.0,1.33,0.0,0.53,0.0,0.0,0.83,1.33,0.25,0.53,0.13,0.0,0.83,0.0,0.0,0.0,2014-5-15_문학
0,1.09,0.36,0.0,0.78,0.0,0.11,0.79,0.0,0.0,0.36,0.11,0.79,0.73,1.09,0.78,0.0,0.0,0.0,1.09,0.36,0.0,0.78,0.0,0.11,0.79,0.0,0.0,0.36,0.11,0.79,0.73,1.09,0.78,0.0,0.0,0.0,2014-5-16_잠실
0,0.3,0.0,0.06,0.0,0.19,0.0,1.15,0.0,0.58,1.15,0.0,0.58,0.34,0.3,0.19,0.0,0.0,0.06,0.3,0.0,0.06,0.0,0.19,0.0,1.15,0.0,0.58,1.15,0.0,0.58,0.34,0.3,0.19,0.0,0.0,0.06,2014-5-16_대전
0,0.3,0.01,0.96,0.0,0.16,0.82,0.0,0.0,0.24,0.01,0.0,0.3,0.82,0.96,0.64,0.0,0.24,0.16,0.3,0.01,0.96,0.0,0.16,0.82,0.0,0.0,0.24,0.01,0.0,0.3,0.82,0.96,0.64,0.0,0.24,0.16,2014-5-16_광주
0,1.09,0.36,0.0,0.78,0.0,0.11,0.79,0.0,0.0,0.36,0.11,0.79,0.73,1.09,0.78,0.0,0.0,0.0,1.09,0.36,0.0,0.78,0.0,0.11,0.79,0.0,0.0,0.36,0.11,0.79,0.73,1.09,0.78,0.0,0.0,0.0,2014-5-17_잠실
0,0.3,0.0,0.0,0.0,0.19,0.0,1.15,0.0,0.58,1.15,0.0,0.58,0.34,0.3,0.19,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.19,0.0,1.15,0.0,0.58,1.15,0.0,0.58,0.34,0.3,0.19,0.0,0.0,0.0,2014-5-17_대전
0,1.09,0.36,0.0,0.78,0.0,0.11,0.79,0.0,0.0,0.36,0.11,0.79,0.73,1.09,0.78,0.0,0.0,0.0,1.09,0.36,0.0,0.78,0.0,0.11,0.79,0.0,0.0,0.36,0.11,0.79,0.73,1.09,0.78,0.0,0.0,0.0,2014-5-18_잠실
0,0.35,0.8,0.29,0.45,0.72,0.11,0.59,0.0,0.0,0.8,0.11,0.59,0.35,0.72,0.29,0.0,0.45,0.0,0.35,0.8,0.29,0.45,0.72,0.11,0.59,0.0,0.0,0.8,0.11,0.59,0.35,0.72,0.29,0.0,0.45,0.0,2014-5-18_사직
0,0.3,0.0,0.0,0.0,0.06,0.34,1.15,0.0,0.08,1.15,0.0,0.58,0.34,0.3,0.0,0.08,0.06,0.0,0.3,0.0,0.0,0.0,0.06,0.34,1.15,0.0,0.08,1.15,0.0,0.58,0.34,0.3,0.0,0.08,0.06,0.0,2014-5-18_대전
0,0.3,0.01,0.96,0.0,0.16,0.82,0.0,0.0,0.0,0.01,0.0,0.3,0.82,0.96,0.64,0.0,0.0,0.16,0.3,0.01,0.96,0.0,0.16,0.82,0.0,0.0,0.0,0.01,0.0,0.3,0.82,0.96,0.64,0.0,0.0,0.16,2014-5-18_광주
0,0.3,0.0,0.0,0.0,0.19,0.0,1.15,0.0,0.58,1.15,0.0,0.58,0.34,0.3,0.0,0.0,0.19,0.0,0.3,0.0,0.0,0.0,0.19,0.0,1.15,0.0,0.58,1.15,0.0,0.58,0.34,0.3,0.0,0.0,0.19,0.0,2014-5-20_마산
0,0.69,1.08,0.55,0.0,0.0,0.0,0.43,0.0,0.0,0.05,0.0,1.08,0.69,0.43,0.55,0.0,0.0,0.0,0.69,1.08,0.55,0.0,0.0,0.0,0.43,0.0,0.0,0.05,0.0,1.08,0.69,0.43,0.55,0.0,0.0,0.0,2014-5-20_목동
0,0.3,0.0,0.0,0.0,0.19,0.0,1.15,0.0,0.58,0.0,0.0,0.34,0.58,1.15,0.0,0.3,0.19,0.0,0.3,0.0,0.0,0.0,0.19,0.0,1.15,0.0,0.58,0.0,0.0,0.34,0.58,1.15,0.0,0.3,0.19,0.0,2014-5-21_마산
0,0.69,1.08,0.55,0.0,0.0,0.0,0.43,0.0,0.0,0.05,0.0,1.08,0.69,0.43,0.55,0.0,0.0,0.0,0.69,1.08,0.55,0.0,0.0,0.0,0.43,0.0,0.0,0.05,0.0,1.08,0.69,0.43,0.55,0.0,0.0,0.0,2014-5-21_목동
0,0.06,0.0,0.0,0.0,0.0,0.25,0.08,0.0,0.0,0.08,0.0,0.06,0.0,0.25,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.25,0.08,0.0,0.0,0.08,0.0,0.06,0.0,0.25,0.0,0.0,0.0,0.0,2014-5-21_광주
0,0.3,0.0,0.0,0.0,0.19,0.0,1.15,0.0,0.58,0.0,0.0,0.34,0.58,1.15,0.3,0.0,0.19,0.0,0.3,0.0,0.0,0.0,0.19,0.0,1.15,0.0,0.58,0.0,0.0,0.34,0.58,1.15,0.3,0.0,0.19,0.0,2014-5-22_마산
0,0.69,1.08,0.55,0.0,0.0,0.0,0.43,0.0,0.0,0.05,0.0,1.08,0.69,0.43,0.55,0.0,0.0,0.0,0.69,1.08,0.55,0.0,0.0,0.0,0.43,0.0,0.0,0.05,0.0,1.08,0.69,0.43,0.55,0.0,0.0,0.0,2014-5-22_목동
0,0.69,1.08,0.55,0.0,0.0,0.0,0.43,0.0,0.0,0.05,0.0,1.08,0.69,0.43,0.55,0.0,0.0,0.0,0.69,1.08,0.55,0.0,0.0,0.0,0.43,0.0,0.0,0.05,0.0,1.08,0.69,0.43,0.55,0.0,0.0,0.0,2014-5-23_잠실
0,0.35,0.8,0.29,0.45,0.72,0.19,0.59,0.0,0.0,0.8,0.19,0.59,0.35,0.72,0.45,0.29,0.33,0.0,0.35,0.8,0.29,0.45,0.72,0.19,0.59,0.0,0.0,0.8,0.19,0.59,0.35,0.72,0.45,0.29,0.33,0.0,2014-5-23_대구
0,0.69,1.08,0.36,0.0,0.55,0.0,0.43,0.0,0.0,0.05,0.0,1.08,0.69,0.43,0.55,0.0,0.36,0.0,0.69,1.08,0.36,0.0,0.55,0.0,0.43,0.0,0.0,0.05,0.0,1.08,0.69,0.43,0.55,0.0,0.36,0.0,2014-5-24_잠실
0,0.35,0.8,0.29,0.45,0.72,0.19,0.59,0.0,0.0,0.8,0.19,0.59,0.35,0.72,0.45,0.29,0.0,0.0,0.35,0.8,0.29,0.45,0.72,0.19,0.59,0.0,0.0,0.8,0.19,0.59,0.35,0.72,0.45,0.29,0.0,0.0,2014-5-24_대구
0,0.06,0.0,0.0,0.0,0.61,0.25,0.08,0.0,0.0,0.08,0.61,0.06,0.0,0.25,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.61,0.25,0.08,0.0,0.0,0.08,0.61,0.06,0.0,0.25,0.0,0.0,0.0,0.0,2014-5-24_문학
0,0.69,1.08,0.36,0.0,0.55,0.0,0.43,0.0,0.0,0.05,0.0,1.08,0.69,0.43,0.55,0.0,0.36,0.0,0.69,1.08,0.36,0.0,0.55,0.0,0.43,0.0,0.0,0.05,0.0,1.08,0.69,0.43,0.55,0.0,0.36,0.0,2014-5-25_잠실
0,0.35,0.8,0.29,0.45,0.72,0.19,0.59,0.0,0.0,0.8,0.19,0.59,0.35,0.72,0.45,0.29,0.33,0.0,0.35,0.8,0.29,0.45,0.72,0.19,0.59,0.0,0.0,0.8,0.19,0.59,0.35,0.72,0.45,0.29,0.33,0.0,2014-5-25_대구
0,0.3,0.0,0.0,0.0,0.19,0.0,1.15,0.0,0.58,1.15,0.0,0.34,0.58,0.0,0.0,0.3,0.0,0.19,0.3,0.0,0.0,0.0,0.19,0.0,1.15,0.0,0.58,1.15,0.0,0.34,0.58,0.0,0.0,0.3,0.0,0.19,2014-5-27_목동
0,1.09,0.36,0.0,0.78,0.0,0.0,0.79,0.0,0.0,0.36,0.78,0.79,0.73,1.09,0.0,0.0,0.0,0.0,1.09,0.36,0.0,0.78,0.0,0.0,0.79,0.0,0.0,0.36,0.78,0.79,0.73,1.09,0.0,0.0,0.0,0.0,2014-5-27_대전
0,0.25,0.0,0.0,1.33,0.0,0.53,0.0,0.0,0.83,1.33,0.0,0.53,0.0,0.83,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1.33,0.0,0.53,0.0,0.0,0.83,1.33,0.0,0.53,0.0,0.83,0.0,0.25,0.0,0.0,2014-5-27_광주
0,0.0,0.0,0.06,0.0,0.19,0.0,1.15,0.0,0.58,0.03,0.0,0.0,0.58,1.15,0.0,0.0,0.06,0.19,0.0,0.0,0.06,0.0,0.19,0.0,1.15,0.0,0.58,0.03,0.0,0.0,0.58,1.15,0.0,0.0,0.06,0.19,2014-5-28_목동
0,1.09,0.36,0.0,0.78,0.0,0.0,0.79,0.0,0.0,0.36,0.78,0.79,0.73,1.09,0.0,0.0,0.0,0.0,1.09,0.36,0.0,0.78,0.0,0.0,0.79,0.0,0.0,0.36,0.78,0.79,0.73,1.09,0.0,0.0,0.0,0.0,2014-5-28_대전
0,0.0,0.25,0.0,1.33,0.0,0.53,0.0,0.0,0.83,1.33,0.25,0.53,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.25,0.0,1.33,0.0,0.53,0.0,0.0,0.83,1.33,0.25,0.53,0.0,0.0,0.83,0.0,0.0,0.0,2014-5-28_광주
0,0.3,0.01,0.96,0.0,0.16,0.82,0.0,0.0,0.24,0.01,0.0,0.3,0.82,0.96,0.64,0.0,0.24,0.16,0.3,0.01,0.96,0.0,0.16,0.82,0.0,0.0,0.24,0.01,0.0,0.3,0.82,0.96,0.64,0.0,0.24,0.16,2014-5-29_잠실
0,0.0,0.0,0.05,0.0,0.19,0.0,1.15,0.0,0.08,0.0,0.0,0.0,0.58,1.15,0.0,0.08,0.05,0.19,0.0,0.0,0.05,0.0,0.19,0.0,1.15,0.0,0.08,0.0,0.0,0.0,0.58,1.15,0.0,0.08,0.05,0.19,2014-5-29_목동
0,1.09,0.36,0.0,0.78,0.0,0.0,0.79,0.0,0.0,0.36,0.78,0.79,0.73,1.09,0.0,0.0,0.0,0.0,1.09,0.36,0.0,0.78,0.0,0.0,0.79,0.0,0.0,0.36,0.78,0.79,0.73,1.09,0.0,0.0,0.0,0.0,2014-5-29_대전
0,0.0,0.25,0.0,1.33,0.0,0.53,0.0,0.0,0.0,1.33,0.25,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.33,0.0,0.53,0.0,0.0,0.0,1.33,0.25,0.53,0.0,0.0,0.0,0.0,0.0,0.0,2014-5-29_광주
0,0.0,0.0,0.05,0.0,0.19,0.0,1.15,0.0,0.58,0.0,0.05,0.0,0.58,1.15,0.3,0.0,0.0,0.19,0.0,0.0,0.05,0.0,0.19,0.0,1.15,0.0,0.58,0.0,0.05,0.0,0.58,1.15,0.3,0.0,0.0,0.19,2014-5-30_대전
0,1.09,0.36,0.0,0.78,0.0,0.0,0.79,0.0,0.23,0.36,0.78,0.79,0.73,1.09,0.0,0.0,0.0,0.23,1.09,0.36,0.0,0.78,0.0,0.0,0.79,0.0,0.23,0.36,0.78,0.79,0.73,1.09,0.0,0.0,0.0,0.23,2014-5-30_광주
0,0.0,0.0,0.05,0.0,0.19,0.0,1.15,0.0,0.08,0.0,0.19,0.0,0.58,1.15,0.0,0.0,0.05,0.08,0.0,0.0,0.05,0.0,0.19,0.0,1.15,0.0,0.08,0.0,0.19,0.0,0.58,1.15,0.0,0.0,0.05,0.08,2014-5-31_대전
0,1.09,0.36,0.0,0.78,0.0,0.0,0.79,0.0,0.23,0.36,0.78,0.79,0.73,1.09,0.0,0.0,0.0,0.23,1.09,0.36,0.0,0.78,0.0,0.0,0.79,0.0,0.23,0.36,0.78,0.79,0.73,1.09,0.0,0.0,0.0,0.23,2014-5-31_광주
